session_tier,split,signature,supplement_events,supplement_dates
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN,736,422
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+FVG,661,414
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+MEMORY,60,52
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+MEMORY+FVG,42,39
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,127,111
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,97,86
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,4,4
2,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,7,7
2,COMEX_FEATURE_HOLDOUT,MEMORY,791,317
2,COMEX_FEATURE_HOLDOUT,MEMORY+FVG,649,295
2,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY,473,325
2,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+FVG,607,397
2,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+MEMORY,176,143
2,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+MEMORY+FVG,108,87
2,DEV,DISPLACEMENT_ORIGIN,1344,928
2,DEV,DISPLACEMENT_ORIGIN+FVG,1266,925
2,DEV,DISPLACEMENT_ORIGIN+MEMORY,67,63
2,DEV,DISPLACEMENT_ORIGIN+MEMORY+FVG,77,68
2,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,470,386
2,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,471,397
2,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,6,6
2,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,27,27
2,DEV,MEMORY,1798,744
2,DEV,MEMORY+FVG,1272,706
2,DEV,OBJECTIVE_LIQUIDITY,851,687
2,DEV,OBJECTIVE_LIQUIDITY+FVG,1108,841
2,DEV,OBJECTIVE_LIQUIDITY+MEMORY,218,188
2,DEV,OBJECTIVE_LIQUIDITY+MEMORY+FVG,191,173
2,VALIDATION,DISPLACEMENT_ORIGIN,648,456
2,VALIDATION,DISPLACEMENT_ORIGIN+FVG,656,463
2,VALIDATION,DISPLACEMENT_ORIGIN+MEMORY,29,24
2,VALIDATION,DISPLACEMENT_ORIGIN+MEMORY+FVG,33,30
2,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,188,155
2,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,161,147
2,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,1,1
2,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,5,5
2,VALIDATION,MEMORY,913,325
2,VALIDATION,MEMORY+FVG,658,331
2,VALIDATION,OBJECTIVE_LIQUIDITY,410,326
2,VALIDATION,OBJECTIVE_LIQUIDITY+FVG,562,435
2,VALIDATION,OBJECTIVE_LIQUIDITY+MEMORY,136,97
2,VALIDATION,OBJECTIVE_LIQUIDITY+MEMORY+FVG,76,65
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN,601,372
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+FVG,630,398
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+MEMORY,58,50
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+MEMORY+FVG,41,38
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,122,107
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,94,83
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,4,4
3,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,7,7
3,COMEX_FEATURE_HOLDOUT,MEMORY,686,289
3,COMEX_FEATURE_HOLDOUT,MEMORY+FVG,595,281
3,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY,229,192
3,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+FVG,528,357
3,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+MEMORY,172,139
3,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+MEMORY+FVG,99,81
3,DEV,DISPLACEMENT_ORIGIN,1043,781
3,DEV,DISPLACEMENT_ORIGIN+FVG,1169,857
3,DEV,DISPLACEMENT_ORIGIN+MEMORY,66,62
3,DEV,DISPLACEMENT_ORIGIN+MEMORY+FVG,74,66
3,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,449,369
3,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,452,381
